Subcategory,Control,subcategory_code,subcategory_description,function_code,function,function_name,category_code,Category,category_name,category_description,category_name_and_code
"ID.AM-5: Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value ",CP-2,ID.AM-5,"Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value ",ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
"ID.AM-5: Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value ",RA-2,ID.AM-5,"Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value ",ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
"ID.AM-5: Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value ",SA-14,ID.AM-5,"Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value ",ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
"ID.AM-5: Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value ",SC-6,ID.AM-5,"Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value ",ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
"ID.AM-6: Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",CP-2,ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
"ID.AM-6: Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",PS-7,ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
"ID.AM-6: Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",PM-11,ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
ID.BE-1: The organization’s role in the supply chain is identified and communicated,CP-2,ID.BE-1,The organization’s role in the supply chain is identified and communicated,ID,Identify (ID),Identify,ID.BE,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment (ID.BE)
ID.BE-1: The organization’s role in the supply chain is identified and communicated,SA-12,ID.BE-1,The organization’s role in the supply chain is identified and communicated,ID,Identify (ID),Identify,ID.BE,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment (ID.BE)
ID.BE-2: The organization’s place in critical infrastructure and its industry sector is identified and communicated,PM-8,ID.BE-2,The organization’s place in critical infrastructure and its industry sector is identified and communicated,ID,Identify (ID),Identify,ID.BE,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment (ID.BE)
"ID.BE-3: Priorities for organizational mission, objectives, and activities are established and communicated",PM-11,ID.BE-3,"Priorities for organizational mission, objectives, and activities are established and communicated",ID,Identify (ID),Identify,ID.BE,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment (ID.BE)
"ID.BE-3: Priorities for organizational mission, objectives, and activities are established and communicated",SA-14,ID.BE-3,"Priorities for organizational mission, objectives, and activities are established and communicated",ID,Identify (ID),Identify,ID.BE,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment (ID.BE)
ID.BE-4: Dependencies and critical functions for delivery of critical services are established,CP-8,ID.BE-4,Dependencies and critical functions for delivery of critical services are established,ID,Identify (ID),Identify,ID.BE,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment (ID.BE)
ID.BE-4: Dependencies and critical functions for delivery of critical services are established,PE-9,ID.BE-4,Dependencies and critical functions for delivery of critical services are established,ID,Identify (ID),Identify,ID.BE,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment (ID.BE)
ID.BE-4: Dependencies and critical functions for delivery of critical services are established,PE-11,ID.BE-4,Dependencies and critical functions for delivery of critical services are established,ID,Identify (ID),Identify,ID.BE,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment (ID.BE)
ID.BE-4: Dependencies and critical functions for delivery of critical services are established,PM-8,ID.BE-4,Dependencies and critical functions for delivery of critical services are established,ID,Identify (ID),Identify,ID.BE,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment (ID.BE)
ID.BE-4: Dependencies and critical functions for delivery of critical services are established,SA-14,ID.BE-4,Dependencies and critical functions for delivery of critical services are established,ID,Identify (ID),Identify,ID.BE,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment (ID.BE)
ID.BE-5: Resilience requirements to support delivery of critical services are established,CP-2,ID.BE-5,Resilience requirements to support delivery of critical services are established,ID,Identify (ID),Identify,ID.BE,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment (ID.BE)
ID.BE-5: Resilience requirements to support delivery of critical services are established,CP-11,ID.BE-5,Resilience requirements to support delivery of critical services are established,ID,Identify (ID),Identify,ID.BE,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment (ID.BE)
ID.BE-5: Resilience requirements to support delivery of critical services are established,SA-13,ID.BE-5,Resilience requirements to support delivery of critical services are established,ID,Identify (ID),Identify,ID.BE,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment (ID.BE)
ID.BE-5: Resilience requirements to support delivery of critical services are established,SA-14,ID.BE-5,Resilience requirements to support delivery of critical services are established,ID,Identify (ID),Identify,ID.BE,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment (ID.BE)
ID.GV-1: Organizational information security policy is established,-1 controls from all families,ID.GV-1,Organizational information security policy is established,ID,Identify (ID),Identify,ID.GV,"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance (ID.GV)
ID.GV-2: Information security roles & responsibilities are coordinated and aligned with internal roles and external partners,PM-1,ID.GV-2,Information security roles & responsibilities are coordinated and aligned with internal roles and external partners,ID,Identify (ID),Identify,ID.GV,"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance (ID.GV)
ID.GV-2: Information security roles & responsibilities are coordinated and aligned with internal roles and external partners,PM-2,ID.GV-2,Information security roles & responsibilities are coordinated and aligned with internal roles and external partners,ID,Identify (ID),Identify,ID.GV,"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance (ID.GV)
ID.GV-2: Information security roles & responsibilities are coordinated and aligned with internal roles and external partners,PS-7,ID.GV-2,Information security roles & responsibilities are coordinated and aligned with internal roles and external partners,ID,Identify (ID),Identify,ID.GV,"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance (ID.GV)
"ID.GV-3: Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",-1 controls from all families (except PM-1),ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",ID,Identify (ID),Identify,ID.GV,"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance (ID.GV)
ID.GV-4: Governance and risk management processes address cybersecurity risks,PM-3,ID.GV-4,Governance and risk management processes address cybersecurity risks,ID,Identify (ID),Identify,ID.GV,"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance (ID.GV)
ID.GV-4: Governance and risk management processes address cybersecurity risks,PM-7,ID.GV-4,Governance and risk management processes address cybersecurity risks,ID,Identify (ID),Identify,ID.GV,"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance (ID.GV)
ID.GV-4: Governance and risk management processes address cybersecurity risks,PM-9,ID.GV-4,Governance and risk management processes address cybersecurity risks,ID,Identify (ID),Identify,ID.GV,"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance (ID.GV)
ID.GV-4: Governance and risk management processes address cybersecurity risks,PM-10,ID.GV-4,Governance and risk management processes address cybersecurity risks,ID,Identify (ID),Identify,ID.GV,"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance (ID.GV)
ID.GV-4: Governance and risk management processes address cybersecurity risks,PM-11,ID.GV-4,Governance and risk management processes address cybersecurity risks,ID,Identify (ID),Identify,ID.GV,"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance (ID.GV)
ID.GV-4: Governance and risk management processes address cybersecurity risks,SA-2,ID.GV-4,Governance and risk management processes address cybersecurity risks,ID,Identify (ID),Identify,ID.GV,"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",Governance (ID.GV)
ID.RA-1: Asset vulnerabilities are identified and documented,CA-2,ID.RA-1,Asset vulnerabilities are identified and documented,ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
ID.RA-1: Asset vulnerabilities are identified and documented,CA-7,ID.RA-1,Asset vulnerabilities are identified and documented,ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
ID.RA-1: Asset vulnerabilities are identified and documented,CA-8,ID.RA-1,Asset vulnerabilities are identified and documented,ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
ID.RA-1: Asset vulnerabilities are identified and documented,RA-3,ID.RA-1,Asset vulnerabilities are identified and documented,ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
ID.RA-1: Asset vulnerabilities are identified and documented,RA-5,ID.RA-1,Asset vulnerabilities are identified and documented,ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
ID.RA-1: Asset vulnerabilities are identified and documented,SA-5,ID.RA-1,Asset vulnerabilities are identified and documented,ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
ID.RA-1: Asset vulnerabilities are identified and documented,SA-11,ID.RA-1,Asset vulnerabilities are identified and documented,ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
ID.RA-1: Asset vulnerabilities are identified and documented,SI-2,ID.RA-1,Asset vulnerabilities are identified and documented,ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
ID.RA-1: Asset vulnerabilities are identified and documented,SI-4,ID.RA-1,Asset vulnerabilities are identified and documented,ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
ID.RA-1: Asset vulnerabilities are identified and documented,SI-5,ID.RA-1,Asset vulnerabilities are identified and documented,ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
ID.RA-2: Threat and vulnerability information is received from information sharing forums and sources,PM-15,ID.RA-2,Threat and vulnerability information is received from information sharing forums and sources,ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
ID.RA-2: Threat and vulnerability information is received from information sharing forums and sources,PM-16,ID.RA-2,Threat and vulnerability information is received from information sharing forums and sources,ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
ID.RA-2: Threat and vulnerability information is received from information sharing forums and sources,SI-5,ID.RA-2,Threat and vulnerability information is received from information sharing forums and sources,ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
"ID.RA-3: Threats, both internal and external, are identified and documented",RA-3,ID.RA-3,"Threats, both internal and external, are identified and documented",ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
"ID.RA-3: Threats, both internal and external, are identified and documented",SI-5,ID.RA-3,"Threats, both internal and external, are identified and documented",ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
"ID.RA-3: Threats, both internal and external, are identified and documented",PM-12,ID.RA-3,"Threats, both internal and external, are identified and documented",ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
