nist_csf_subcategory,nist_csf_function,nist_csf_function_name,nist_csf_category,nist_csf_category_name,nist_csf_category_name_and_code,800-53_name,800-53_title,800-53_family,800-53_extended_description
"ID.AM-5: Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value ",Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),CP-2,Contingency Plan,Contingency Planning,"['The organization:', 'CP-2a.: Develops a contingency plan for the information system that:', 'CP-2a.1.: Identifies essential missions and business functions and associated contingency requirements;', 'CP-2a.2.: Provides recovery objectives, restoration priorities, and metrics;', 'CP-2a.3.: Addresses contingency roles, responsibilities, assigned individuals with contact information;', 'CP-2a.4.: Addresses maintaining essential missions and business functions despite an information system disruption, compromise, or failure;', 'CP-2a.5.: Addresses eventual, full information system restoration without deterioration of the security safeguards originally planned and implemented; and', 'CP-2a.6.: Is reviewed and approved by [Assignment: organization-defined personnel or roles];', 'The organization coordinates contingency plan development with organizational elements responsible for related plans.', 'The organization conducts capacity planning so that necessary capacity for information processing, telecommunications, and environmental support exists during contingency operations.', 'The organization plans for the resumption of essential missions and business functions within [Assignment: organization-defined time period] of contingency plan activation.', 'The organization plans for the resumption of all missions and business functions within [Assignment: organization-defined time period] of contingency plan activation.', 'The organization plans for the continuance of essential missions and business functions with little or no loss of operational continuity and sustains that continuity until full information system restoration at primary processing and/or storage sites.', 'The organization plans for the transfer of essential missions and business functions to alternate processing and/or storage sites with little or no loss of operational continuity and sustains that continuity through information system restoration to primary processing and/or storage sites.', 'The organization coordinates its contingency plan with the contingency plans of external service providers to ensure that contingency requirements can be satisfied.', 'The organization identifies critical information system assets supporting essential missions and business functions.']"
"ID.AM-5: Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value ",Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),RA-2,Security Categorization,Risk Assessment,"['The organization:', 'RA-2a.: Categorizes information and the information system in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance;']"
"ID.AM-5: Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value ",Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),SA-14,Criticality Analysis,System And Services Acquisition,"['The organization identifies critical information system components and functions by performing a criticality analysis for [Assignment: organization-defined information systems, information system components, or information system services] at [Assignment: organization-defined decision points in the system development life cycle].', '[Withdrawn: Incorporated into SA-20].']"
"ID.AM-5: Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value ",Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),SC-6,Resource Availability,System And Communications Protection,['The information system protects the availability of resources by allocating [Assignment: organization-defined resources] by [Selection (one or more); priority; quota; [Assignment: organization-defined security safeguards]].']
"ID.AM-6: Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),CP-2,Contingency Plan,Contingency Planning,"['The organization:', 'CP-2a.: Develops a contingency plan for the information system that:', 'CP-2a.1.: Identifies essential missions and business functions and associated contingency requirements;', 'CP-2a.2.: Provides recovery objectives, restoration priorities, and metrics;', 'CP-2a.3.: Addresses contingency roles, responsibilities, assigned individuals with contact information;', 'CP-2a.4.: Addresses maintaining essential missions and business functions despite an information system disruption, compromise, or failure;', 'CP-2a.5.: Addresses eventual, full information system restoration without deterioration of the security safeguards originally planned and implemented; and', 'CP-2a.6.: Is reviewed and approved by [Assignment: organization-defined personnel or roles];', 'The organization coordinates contingency plan development with organizational elements responsible for related plans.', 'The organization conducts capacity planning so that necessary capacity for information processing, telecommunications, and environmental support exists during contingency operations.', 'The organization plans for the resumption of essential missions and business functions within [Assignment: organization-defined time period] of contingency plan activation.', 'The organization plans for the resumption of all missions and business functions within [Assignment: organization-defined time period] of contingency plan activation.', 'The organization plans for the continuance of essential missions and business functions with little or no loss of operational continuity and sustains that continuity until full information system restoration at primary processing and/or storage sites.', 'The organization plans for the transfer of essential missions and business functions to alternate processing and/or storage sites with little or no loss of operational continuity and sustains that continuity through information system restoration to primary processing and/or storage sites.', 'The organization coordinates its contingency plan with the contingency plans of external service providers to ensure that contingency requirements can be satisfied.', 'The organization identifies critical information system assets supporting essential missions and business functions.']"
"ID.AM-6: Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),PS-7,Third-Party Personnel Security,Personnel Security,"['The organization:', 'PS-7a.: Establishes personnel security requirements including security roles and responsibilities for third-party providers;']"
"ID.AM-6: Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),PM-11,Mission/Business Process Definition,Program Management,"['The organization:', 'PM-11a.: Defines mission/business processes with consideration for information security and the resulting risk to organizational operations, organizational assets, individuals, other organizations, and the Nation; and']"
ID.BE-1: The organization’s role in the supply chain is identified and communicated,Identify (ID),Identify,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,Business Environment (ID.BE),CP-2,Contingency Plan,Contingency Planning,"['The organization:', 'CP-2a.: Develops a contingency plan for the information system that:', 'CP-2a.1.: Identifies essential missions and business functions and associated contingency requirements;', 'CP-2a.2.: Provides recovery objectives, restoration priorities, and metrics;', 'CP-2a.3.: Addresses contingency roles, responsibilities, assigned individuals with contact information;', 'CP-2a.4.: Addresses maintaining essential missions and business functions despite an information system disruption, compromise, or failure;', 'CP-2a.5.: Addresses eventual, full information system restoration without deterioration of the security safeguards originally planned and implemented; and', 'CP-2a.6.: Is reviewed and approved by [Assignment: organization-defined personnel or roles];', 'The organization coordinates contingency plan development with organizational elements responsible for related plans.', 'The organization conducts capacity planning so that necessary capacity for information processing, telecommunications, and environmental support exists during contingency operations.', 'The organization plans for the resumption of essential missions and business functions within [Assignment: organization-defined time period] of contingency plan activation.', 'The organization plans for the resumption of all missions and business functions within [Assignment: organization-defined time period] of contingency plan activation.', 'The organization plans for the continuance of essential missions and business functions with little or no loss of operational continuity and sustains that continuity until full information system restoration at primary processing and/or storage sites.', 'The organization plans for the transfer of essential missions and business functions to alternate processing and/or storage sites with little or no loss of operational continuity and sustains that continuity through information system restoration to primary processing and/or storage sites.', 'The organization coordinates its contingency plan with the contingency plans of external service providers to ensure that contingency requirements can be satisfied.', 'The organization identifies critical information system assets supporting essential missions and business functions.']"
ID.BE-1: The organization’s role in the supply chain is identified and communicated,Identify (ID),Identify,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,Business Environment (ID.BE),SA-12,Supply Chain Protection,System And Services Acquisition,"['The organization protects against supply chain threats to the information system, system component, or information system service by employing [Assignment: organization-defined security safeguards] as part of a comprehensive, defense-in-breadth information security strategy.', 'The organization employs [Assignment: organization-defined tailored acquisition strategies, contract tools, and procurement methods] for the purchase of the information system, system component, or information system service from suppliers.', 'The organization conducts a supplier review prior to entering into a contractual agreement to acquire the information system, system component, or information system service.', '[Withdrawn: Incorporated into SA-12 (1)].', '[Withdrawn: Incorporated into SA-12 (13)].', 'The organization employs [Assignment: organization-defined security safeguards] to limit harm from potential adversaries identifying and targeting the organizational supply chain.', '[Withdrawn: Incorporated into SA-12 (1)].', 'The organization conducts an assessment of the information system, system component, or information system service prior to selection, acceptance, or update.', 'The organization uses all-source intelligence analysis of suppliers and potential suppliers of the information system, system component, or information system service.', 'The organization employs [Assignment: organization-defined Operations Security (OPSEC) safeguards] in accordance with classification guides to protect supply chain-related information for the information system, system component, or information system service.', 'The organization employs [Assignment: organization-defined security safeguards] to validate that the information system or system component received is genuine and has not been altered.', 'The organization employs [Selection (one or more): organizational analysis, independent third-party analysis, organizational penetration testing, independent third-party penetration testing] of [Assignment: organization-defined supply chain elements, processes, and actors] associated with the information system, system component, or information system service.', 'The organization establishes inter-organizational agreements and procedures with entities involved in the supply chain for the information system, system component, or information system service.', 'The organization employs [Assignment: organization-defined security safeguards] to ensure an adequate supply of [Assignment: organization-defined critical information system components].', 'The organization establishes and retains unique identification of [Assignment: organization-defined supply chain elements, processes, and actors] for the information system, system component, or information system service.', 'The organization establishes a process to address weaknesses or deficiencies in supply chain elements identified during independent or organizational assessments of such elements.']"
ID.BE-2: The organization’s place in critical infrastructure and its industry sector is identified and communicated,Identify (ID),Identify,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,Business Environment (ID.BE),PM-8,Critical Infrastructure Plan,Program Management,"['The organization addresses information security issues in the development, documentation, and updating of a critical infrastructure and key resources protection plan.']"
"ID.BE-3: Priorities for organizational mission, objectives, and activities are established and communicated",Identify (ID),Identify,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,Business Environment (ID.BE),PM-11,Mission/Business Process Definition,Program Management,"['The organization:', 'PM-11a.: Defines mission/business processes with consideration for information security and the resulting risk to organizational operations, organizational assets, individuals, other organizations, and the Nation; and']"
"ID.BE-3: Priorities for organizational mission, objectives, and activities are established and communicated",Identify (ID),Identify,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,Business Environment (ID.BE),SA-14,Criticality Analysis,System And Services Acquisition,"['The organization identifies critical information system components and functions by performing a criticality analysis for [Assignment: organization-defined information systems, information system components, or information system services] at [Assignment: organization-defined decision points in the system development life cycle].', '[Withdrawn: Incorporated into SA-20].']"
ID.BE-4: Dependencies and critical functions for delivery of critical services are established,Identify (ID),Identify,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,Business Environment (ID.BE),CP-8,Telecommunications Services,Contingency Planning,"['The organization establishes alternate telecommunications services including necessary agreements to permit the resumption of [Assignment: organization-defined information system operations] for essential missions and business functions within [Assignment: organization-defined time period] when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites.', 'The organization:', 'CP-8 (1)(a): Develops primary and alternate telecommunications service agreements that contain priority-of-service provisions in accordance with organizational availability requirements (including recovery time objectives); and', 'CP-8 (1)(b): Requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the primary and/or alternate telecommunications services are provided by a common carrier.', 'The organization obtains alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services.', 'The organization obtains alternate telecommunications services from providers that are separated from primary service providers to reduce susceptibility to the same threats.', 'The organization:', 'CP-8 (4)(a): Requires primary and alternate telecommunications service providers to have contingency plans;', 'CP-8 (4)(b): Reviews provider contingency plans to ensure that the plans meet organizational contingency requirements; and', 'CP-8 (4)(c): Obtains evidence of contingency testing/training by providers [Assignment: organization-defined frequency].', 'The organization tests alternate telecommunication services [Assignment: organization-defined frequency].']"
ID.BE-4: Dependencies and critical functions for delivery of critical services are established,Identify (ID),Identify,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,Business Environment (ID.BE),PE-9,Power Equipment And Cabling,Physical And Environmental Protection,"['The organization protects power equipment and power cabling for the information system from damage and destruction.', 'The organization employs redundant power cabling paths that are physically separated by [Assignment: organization-defined distance].', 'The organization employs automatic voltage controls for [Assignment: organization-defined critical information system components].']"
ID.BE-4: Dependencies and critical functions for delivery of critical services are established,Identify (ID),Identify,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,Business Environment (ID.BE),PE-11,Emergency Power,Physical And Environmental Protection,"['The organization provides a short-term uninterruptible power supply to facilitate [Selection (one or more): an orderly shutdown of the information system; transition of the information system to long-term alternate power] in the event of a primary power source loss.', 'The organization provides a long-term alternate power supply for the information system that is capable of maintaining minimally required operational capability in the event of an extended loss of the primary power source.', 'The organization provides a long-term alternate power supply for the information system that is:', 'PE-11 (2)(a): Self-contained;', 'PE-11 (2)(b): Not reliant on external power generation; and', 'PE-11 (2)(c): Capable of maintaining [Selection: minimally required operational capability; full operational capability] in the event of an extended loss of the primary power source.']"
ID.BE-4: Dependencies and critical functions for delivery of critical services are established,Identify (ID),Identify,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,Business Environment (ID.BE),PM-8,Critical Infrastructure Plan,Program Management,"['The organization addresses information security issues in the development, documentation, and updating of a critical infrastructure and key resources protection plan.']"
ID.BE-4: Dependencies and critical functions for delivery of critical services are established,Identify (ID),Identify,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,Business Environment (ID.BE),SA-14,Criticality Analysis,System And Services Acquisition,"['The organization identifies critical information system components and functions by performing a criticality analysis for [Assignment: organization-defined information systems, information system components, or information system services] at [Assignment: organization-defined decision points in the system development life cycle].', '[Withdrawn: Incorporated into SA-20].']"
ID.BE-5: Resilience requirements to support delivery of critical services are established,Identify (ID),Identify,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",Business Environment,Business Environment (ID.BE),CP-2,Contingency Plan,Contingency Planning,"['The organization:', 'CP-2a.: Develops a contingency plan for the information system that:', 'CP-2a.1.: Identifies essential missions and business functions and associated contingency requirements;', 'CP-2a.2.: Provides recovery objectives, restoration priorities, and metrics;', 'CP-2a.3.: Addresses contingency roles, responsibilities, assigned individuals with contact information;', 'CP-2a.4.: Addresses maintaining essential missions and business functions despite an information system disruption, compromise, or failure;', 'CP-2a.5.: Addresses eventual, full information system restoration without deterioration of the security safeguards originally planned and implemented; and', 'CP-2a.6.: Is reviewed and approved by [Assignment: organization-defined personnel or roles];', 'The organization coordinates contingency plan development with organizational elements responsible for related plans.', 'The organization conducts capacity planning so that necessary capacity for information processing, telecommunications, and environmental support exists during contingency operations.', 'The organization plans for the resumption of essential missions and business functions within [Assignment: organization-defined time period] of contingency plan activation.', 'The organization plans for the resumption of all missions and business functions within [Assignment: organization-defined time period] of contingency plan activation.', 'The organization plans for the continuance of essential missions and business functions with little or no loss of operational continuity and sustains that continuity until full information system restoration at primary processing and/or storage sites.', 'The organization plans for the transfer of essential missions and business functions to alternate processing and/or storage sites with little or no loss of operational continuity and sustains that continuity through information system restoration to primary processing and/or storage sites.', 'The organization coordinates its contingency plan with the contingency plans of external service providers to ensure that contingency requirements can be satisfied.', 'The organization identifies critical information system assets supporting essential missions and business functions.']"
